Name,Title,Headshot,Contact,LinkedIn,Twitter,Description
Meghan Pennini,Project Officer; Biological Scientist,avatar_gradient.jpg,,https://www.linkedin.com/in/meghan-pennini-5225104/,,<span class=“bold-text”>Information Coming Soon!</span> 
Rekia Speight,Program Analyst,rekia.jpg,,,,<span class=“bold-text”>Information Coming Soon!</span> 
Steven Simpson,Sepsis SME; IPA,s_simpson.jpg,,https://www.linkedin.com/in/steven-simpson-92279712/,,<span class=“bold-text”>Information Coming Soon!</span> 
Tim Buchman,Sepsis SME; IPA,timb_resized.jpg,,https://www.linkedin.com/in/timothy-buchman-29477/,,<span class=“bold-text”>Information Coming Soon!</span> 
Troy Francis,Contracting Officer,troy_headshot.jpg,,https://www.linkedin.com/in/troygfrancis/,,<span class=“bold-text”>Information Coming Soon!</span> 
Donna Raihl,Contract Specialist,donna_rahil.jpg,,,,<span class=“bold-text”>Information Coming Soon!</span> 
Hui-Hsing Wong,Program Manager,hui_headshot_resized.jpg,,,,<span class=“bold-text”>Information Coming Soon!</span> 
Ifeyinwa Ekpe,Contract Specialist,avatar_gradient.jpg,,,,<span class=“bold-text”>Information Coming Soon!</span> 
Janine Medina,Presidential Innovation Fellow,avatar_gradient.jpg,,https://www.linkedin.com/in/janineamedina/,,<span class=“bold-text”>Information Coming Soon!</span> 
Jennifer Isaacs,Project Officer; Biological Scientist,jennifer_resized.jpg,,,,<span class=“bold-text”>Information Coming Soon!</span> 
David Winter,Project Officer; Biological Scientist,david_winter.jpg,,https://www.linkedin.com/in/david-winter-70898a7/,,<span class=“bold-text”>Information Coming Soon!</span> 
Rachita Varma,Contract Specialist,rachita.jpg,,https://www.linkedin.com/in/rachitavj/,,<span class=“bold-text”>Information Coming Soon!</span> 
Sofia Da Silva,ORISE Fellow,avatar_gradient.jpg,,https://www.linkedin.com/in/sofia-cheliout-da-silva-29201096/,,<span class=“bold-text”>Information Coming Soon!</span> 
Gisele Cazeau,Management Analyst,giselle_resized.jpg,,,,<span class=“bold-text”>Information Coming Soon!</span> 
Bushra Rasheed,Program Manager,Bushra.jpg,,https://www.linkedin.com/in/bushra-rasheed-99430045/,,<span class=“bold-text”>Information Coming Soon!</span> 
