Name,logobg,Country,City,State,ProductType,ProductType2,ImpactArea,logofile,Contact,Funding,Website,Stage,AwardDate,AwardEndDate,ProjectName,ProductName,Description,Disruption,CostShare,lat,lon,News
Qvella,n,United States,Carlsbad,CA,Diagnostic,,Sepsis,FAST-ID-qvella.png,LisaG@Qvella.com,692236,https://www.qvella.com/,TRL 5 - Demonstration,2/11/19,1/31/22,"Sepsis Diagnosis Using Qvellaï¿½s
FAST-HR Host-Response-Based Assay System",FAST-HR Assay for Sepsis,Expansion of FAST-ID platform to include host biomarkers for diagnosis of sepsis and infection,"Groundbreaking dianostic tech to diagnose infection in patients suspected of sepsis with assay results in 60 minutes. Rapid, accurate diagnosis will save lives and improve patient outcomes.",296673,33.118207,-117.278585,Qvella_announcement
Enesi Pharma,n,United Kingdom,Abingdon,Oxfordshire,Implantable Formulation,,BTN,ImplaVax.png,enquiries@enesipharma.com,688863,https://www.enesipharma.com/,TRL 5 - Demonstration,4/10/19,4/30/21,Evaluation of Novel Solid Dose Vaccines for Use in a Future Pandemic Influenza,ImplaVax,Analytical and pre-clinical evaluation of novel ImplaVax-enabled solid dose implant formulations of marketed influenza vaccines in validated models,"Through simple but robust needle-free vaccine delivery system, ImplaVax has the potential to become a cost-effective innovation that could improve influenza vaccination update, coverage, and compliance, and provide unsurpassed health security in the face of seasonal or pandemic influenza outbreaks.",295137,51.623753,-1.290546,enesi_announcement
Janus-I Sciences,n,United States,Vista,CA,Diagnostic,,Other,rna.jpeg,admin@jiscience.com,710619,https://jiscience.com/,TRL 3 - Feasibility Demonstration,4/15/19,10/14/20,Direct RNA Sequencing of Emerging Respiratory Agents and Host Response,Diagnostic Assay using Direct RNA Sequencing,"Development of a simple nanopore sequencing-based platform that can identify unknown viruses in clinical specimen and detect host responses, enabling identification of the causative agent of a viral infection and providing host response information without having any preconceived notions about the virus(es) involved.","This project has the potential to revolutionize diagnostic testing by enabling a truly agnostic prognostic diagnostic, based on nanopore sequencing technologies, to be integrated into patient-care settings, informing caregivers to begin appropriate treatement and intervention at the earliest possible time point, saving lives and reducing morbidity.",304560,33.137179,-117.222506,janus_announcement
Biobeat,n,Israel,Petach Tikva,Mehoz HaMerkaz,Data Analytics,,ENACT,Watch_patch.jpg,info@bio-beat.com,89250,http://www.biobeat.cloud/,TRL 7 - Validation and Scale-up,5/21/19,1/20/20,Using the Biobeat monitoring device to monitor subjects during a Influenza Vaccine Human Challenge study,Biobeat Medical Smart-Monitoring Wrist Monitor,The use of a wearable device to continuously capture clinical endpoints can lead to better technologies alert users prior to symptom onset. This project will support a BARDA novel Flu vaccine clinical study with Biobeat monitoring devices; provision of hardware and software allowed for data transmission and storage; training of site personnel and related translation services; data analysis; and software enhancements.Ó,"By leveraging the Biobeat wearable device in an Influenza Vaccine Human Challenge study, DRIVe aims to overcome significant challenges associated with patient reported outcomes as well as collect key health signatures in the earliest stages of disease.",25250,32.086921,34.852991,
Evidation Health,n,United States,San Mateo,CA,Data Analytics,,ENACT,evidation_logo.png,press@evidation.com,749898,https://evidation.com,TRL 6 - System Integration and Testing,6/25/19,1/31/21,Novel Respiratory Virus Detection & Forecasting Model,Achievement Platform,Leverage the Evidation research platform utilizing patient-generated health to improve infectious disease prediction and enhance capabilities to detect respiratory infections prior to the onset of symptoms,This technology has the potential to enable Americans to monitor their respiratory disease symptoms and take precautions against spreading such diseases - days before symptoms appear,585750,37.565818,-122.324512,evidation_announcement
University of California San Diego,n,United States,La Jolla,CA,On-Demand Testing,,ENACT,UCSD-Composer.jpg,ucpa-general@ucsd.edu,557340,https://sites.google.com/view/lerman-lab/home,TRL 3 - Feasibility Demonstration,8/1/19,9/30/21,In-Vivo Vagus Sentinels to Detect and Prevent Infection,Surge Tracer System,"Non-invasive, continuous monitoring of host-response through measurements of vagus nerve firing patterns can lead to development of novel diagnostic monitoring systems on the user or in the home.","In the near future, this technology will provide Americans continuous monitoring to alert them of potential exposures to pathogens. This allows interventions against progression of disease potentially days before symptoms appear.",238860,32.87526317,-117.2361324,ucsd_announcement
"Inflammatix, Inc",n,United States,Burlingame,CA,Diagnostic,,Sepsis,hostdx.png,tim@inflammatix.com,749000,https://www.inflammatix.com/,TRL 7 - Validation and Scale-up,8/5/19,9/4/21,Clinical Validation and Implementation of HostDx Sepsis on Nanostring,InSep,Diagnostic that can determine the presence and type of acute infection or sepsis (bacterial vs. viral vs. non-infected) as well as prognosticate outcome.,"When an infection progresses to sepsis, that infection becomes life threatening. Having a diagnostic that both identifies type of infection and determines the likelihood of mortality will facilitate appropriate clinical management.",1365410,37.6,-122.3736,inflammitix_announcement
Sonica Health,n,United States,Evanston,IL,Remote Monitoring,,ENACT,Sonica product image.jpg,,656420,http://www.sonicahealth.com/,TRL 7 - Validation and Scale-up,8/1/19,3/31/21,"Advanced, Bio-Integrated, and Cloud-Enabled Sensors for Early Diagnosis of Respiratory Infections in the Home Setting",Sonica Advanced Acoustomechanic (ADAM) System,"Sonica's ADAM system comprises a soft, comfortable and continuous bio-integrated wireless sensor that couples intimately to the skin in unique locations of anatomical performance. This project will examine user compliance, and establish ADAM's ability to identify early respiratory infections in a high-risk clinical population.","Potential to provide a full suite of respiratory digital biomarkers and ability to predict impending respiratory infection, warn of continued infectiousness, and identify treatment non-responders.",400710,42.042436,-87.699329,sonica_announcement
Sound Life Sciences,n,United States,Seattle,WA,Remote Monitoring,,ENACT,SLS_Speaker_V2.png,,746815,https://www.soundlifesci.com/,TRL 4 - Optimization,8/8/19,6/3/21,Detection of Incipient Respiratory Infections using Smart Speaker Sonar,Sound Life Sciences software monitoring system,Sound Life Sciences' sonar enabled smart speaker can monitor individuals breathing rate and morphology within the comforts of their home with the potential for early identification of acute respiratory infection. ,"This technology promotes a rapid, noninvasive detection modality for respiratory infections, thereby improving social distancing and reducing the spread of illness caused by in-person medical, lab & pharmaceutical care. ",320065,47.656587,-122.316098,soundlife_announcement
98point6,n,United States,Seattle,WA,Data Analytics,,ENACT,986.png,,257670,https://www.98point6.com,TRL 9 - Post-Licensure and Post-Approval Activities,8/6/19,2/5/21,Comprehensive Infectious Disease Interdiction,Text-based virtual care,This service pairs AI/machine learning with board-certified physicians to meet patients nationwide wherever they are via their smartphone. This technology empowers Americans by providing on-demand virtual care to treat infectious diseases.,"This technology promotes more rapid detection and treatment, thereby improving social distancing and reducing the spread of illness caused by in-person medical, lab & pharmaceutical care. ",110430,47.604638,-122.330888,ninetyeightpointsix_announcement
END SEPSIS,n,United States,New York,NY,Educational Tools,,Sepsis,The_Rory_Staunton_logo.png,,254662,https://rorystauntonfoundationforsepsis.org/,NA,9/30/19,7/31/21,Maternal Sepsis,Maternal Sepsis Education,"Identify and analyze the risk factors associated with maternal sepsis in order to educate providers, patients, policymakers and other key stakeholders about the condition through the development of audience-specific educational materials and tools.","As one of the leading causes of pregnancy-related deaths in the US, this partnership will increase understanding of the risk factors associated with maternal sepsis, increase public awareness and empower health care providers and patients to improve health outcomes. ",120114,40.76095,-73.98205,rory_announcement
Beckman Coulter ,n,United States,Brea,CA,Diagnostic,Data Analytics,Sepsis,beckman_logo.png,,7750000,https://www.beckmancoulter.com/ ,TRL 4 - Optimization,9/30/19,9/30/23,Monocyte Distribution Width and Predictive Analytic Algorithms for Sepsis Detection,Monocyte Distribution Width (MDW) ,A sepsis diagnostic integrating EHR data with novel laboratory test parameters ,A next generation algorithm that combines EHR data with laboratory test parameters will be able to rapidly test and predict sepsis earlier.  This is critical for early intervention with sepsis patients to save lives.,5391345,33.91575,-117.86011,coulter_announcement
Cytovale,n,United States,San Francisco,CA,Diagnostic,Data Analytics,Sepsis,cytovale_project.jpg,info@Cytovale.com,8894761,http://cytovale.com/,TRL 7 - Validation and Scale-up,9/28/19,6/30/23,Septiscan Product Development,IntelliSep,Advance development towards FDA clearance of a sepsis diagnostic designed to measure immune cell activity associated with the host immune response to sepsis.,"Cytovale's system leverages the latest technology in microfluidics, high speed imaging, and machine learning to detect sepsis-specific biophysical signatures of immune cells. A sepsis diagnostic with results in under 10 minutes will facilitate rapid, life-saving intervention for sepsis.",3898917,37.711156,-122.393321,cytovale2_announcement
General Electric Research,n,United States,Niskayuna,NY,On-Demand Testing,,ENACT,GE_Product_image.png,,700000,https://www.ge.com/research/,TRL 3 - Feasibility Demonstration,9/11/19,9/14/21,Ultrasound Stimulated Immune Response Profiles (StimResponse): New Tool for Pre-symptomatic Pathogen Exposure Detection,StimResponse,Continue to advance prior US Government development of GE ultrasound neuromodulation technology as a diagnostic test. The overall objective of this project is to develop a pre-symptomatic diagnostic of pathogen exposure (called StimResponse) that eliminates the need for multi-day tests by using a single 0.5 Ð3.0-hour test that detects pathogen specific signatures to a non-invasion ultrasound neuroimmune stimulation.,"Potential to detect pre-symptomatic exposure to respiratory pathogens and pneumonia using ultrasound.  GE's ultrasound neuromodulation technology involves using an ultrasound stimulus to activate a neuroimmune pathway, such that the response to the stimulus provides a more rapid assessment of exposure. ",319617,42.82632,-73.87913,GE_announcement
Rizlab Health,n,United States,Princeton,NJ,On-Demand Testing,,ENACT,medhi-wristband-600x452.jpg,,741000,https://www.rizlabhealth.com/,TRL 4 - Optimization,9/1/19,11/30/21,A Data-Driven Home Monitoring System for Classifying Viral/Bacterial Infections,Cytotracker,"The CytoTracker is a pocket-size device that can perform complete blood counts (CBCs) from a drop of blood to help inform disease diagnosis for a number of illnesses such as infectious disease, cancer, and various autoimmune diseases.  The  objective of this project is to develop a working prototype of a home based mobile health monitoring system for assessing whether users exhibiting cold symptoms are likely experiencing a bacterial or viral infection.","The Rizlab CytoTracker will enable patients suffering from cold symptoms to be assessed for the likelihood of a viral or bacterial infection.  Once this system is developed, it will help clinicians assess patients in their care at their homes to determine the appropriateness of antibiotic use by differentiating those suffering from a viral infection from those infected with bacteria.",323000,40.355652,74.603142,Rizlab_announcement
Stanford Medicine,n,United States,Stanford,CA,On-Demand Testing,,ENACT,stanford_biomarker.jpg,tsoh@stanford.edu,695357,https://sohlab.stanford.edu/,TRL 3 - Feasibility Demonstration,9/27/19,9/29/20,Lab on a Dust System (LDS),Lab on a Dust,"LDS is a revolutionary, fully integrated, mm scale molecular diagnostic system based on a disposable silicon chip. The overall objective of this project is to develop a fully integrated molecular diagnostic system on a miniaturized, disposable CMOS chip. The project includes simultaneous detection of three biomarkers of inflammation (C-reactive protein, TNF-alpha, and IL-1 RA) in a finger-prick blood. After detecting the biomarkers, the CMOS chip will wirelessly transmit the chemical information to an external smart phone with a custom developed app.","The millimeter sized system can be immersed in a clinical sample, simultaneously measure multiple protein biomarkers, and wirelessly transmit results (no sample prep, instrumentation, or reagents required), thus achieving a truly ""distributed"" molecular diagnostics in a miniaturized and low-cost manner.",399775,37.40954,-122.1507,
Stanford Medicine,n,United States,Stanford,CA,Remote Monitoring,,ENACT,stanford_biomarker.jpg,tsoh@stanford.edu,698251,https://sohlab.stanford.edu/,TRL 3 - Feasibility Demonstration,9/26/19,1/31/22,Minimally Invasive Monitoring of Stress State Feasibility Demo ,Minimally Invasive Monitoring of Stress State,"Advance development towards continuous monitoring of host response markers such as cytokines to indicate presymptomatic exposures to pathogens via Stanford's smart patch sensor.
The overall objective of this contract is to develop the first molecular diagnostic device that can continuously measure multiple biomarkers in the interstitial space (interstitium). The data from this sensor will enable better understanding of the physiological state and allow for earlier detection and prevention of a wide range of undesired health conditions. As a model, the continuous measurement of glucose and cortisol will be demonstrated. Furthermore,  feasibility for measuring low-abundance protein biomarkers of inflammation including c-reactive protein (CRP) and interleukin-1 beta (IL-1b) will be tested.","Stanford's technology leverages the latest technology in sensors, wearable technology and microfluidics to detect biochemical markers in interstitial fluid. The patch is expected to last approximately 2 weeks and allow individuals to monitor their own health at home, on the go, etc. and receive a warning of a potential infection days prior to symptom onset.",429394,37.40954,-122.1507,
Empatica,n,United States,Cambridge,MA,Data Analytics,,COVID-19,thumbnail_empatica_aura_press_release_drive_nologos.png,press@empatica.com,717807,https://www.empatica.com/,TRL 7 - Validation and Scale-up,6/18/20,5/31/21,EMPACT: Early Monitoring Platform Against COVID-19 Transmission,Aura,"Aura is an early warning platform for COVID-19 infection. This diagnostics platform enables continuous and real-time insight into infection likelihood before symptoms present, through the use of a wearable device and an algorithm that can continuously monitor physiological health markers and produce an output.","Individuals infected with SARS-CoV-2 and similar viruses usually seek diagnostic tests once they begin exhibiting symptoms, often after an infected person is contagious. Empatica aims to prevent spread by detecting infection in individuals before the onset of symptoms, allowing early intervention through self-quarantine, treatment, and care.",567091,42.362977,-71.083918,Empatica_announcement
Evidation Health,n,United States,San Mateo,CA,Diagnostic,,COVID-19,evidation_logo.png, press@evidation.com,720000,https://evidation.com,TRL 7 - Validation and Scale-up,4/20/20,9/30/21,Detection & Forecasting Model Pilot,Achievement Platform,"Evidation seeks to develop a model that can detect whether an individual has likely been infected with COVID-19 and understand an individual's susceptibility to infection. This project builds on Evidation's current partnership with BARDA to monitor individuals for respiratory infections, such as influenza. This pilot study will demonstrate utility of empowering Americans with a novel means to self-monitor to improve health outcomes for COVID-19. The study will initiate with healthcare workers and first responders, who are our nation's, front-line responders, to more readily be diagnosed to prevent exposure to others. The study has the potential for large-scale deployment to allow Americans to determine risk of COVID-19 and to appropriately implement precautions against spread of COVID-19 and other such diseases.",This effort will track the infection of COVID-19 in high risk individuals and healthcare workers in order to develop an early warning algorithm for symptoms of COVID-19 as well as conduct a pilot study for a large-scale COVID19 sentinel network in the US.,564133,37.565818,-122.324512,
98point6,n,United States,Seattle,WA,Data Analytics,,COVID-19,986.png,,749000,https://www.98point6.com,TRL 9 - Post-Licensure and Post-Approval Activities,9/11/20,4/30/21,"Text-Based Medical Care via a Smartphone Interface and Artificial Intelligence to Assess, Triage, Diagnose and Treat COVID-19",Text-based virtual care,"The 98point6 primary care platform combines a telehealth service with AI and machine learning to provide a comprehensive program of diagnosis, assessment, triage, reporting and tracking of SARS-CoV-2 infections to a national population of patients. 98point6 will develop and deploy a comprehensive program of COVID-19 interdictions. As treatment and vaccination options become available, 98point6 will build targeted workflows to encourage effective interventions based on demographics, risk factors and other data. 98point6 will provide patients with relevant information on reducing disease transmission and monitor patient health via follow-ups.","The ability to assess data daily across a national population allows real-time comparison of geographic patterns of infection. By combining ease of access and little to no cost per visit, 98point6 encourages patients to seek care at the earliest stages of illness.",382276,47.604638,-122.330888,ninetyeightpointsix_announcement
Experovax,n,United States,Plymouth,MI,Oral Delivery,,BTN,esperovax_logo.png,,606780,https://esperovax.com/,TRL 3 - Feasibility Demonstration,7/27/20,10/31/21,Development of mRNA oral cellular vaccine delivery technology,Egress RD ,An oral immunization for COVID-19 involving delivery of enveloped virus like particles (eVLPs) by capsule to the gut that will induce immune protection against disease.,"This technology aims to provide a cost-effective technological innovation that improves immunization uptake, coverage, compliance and preparedness, with the potential for self-administration  ",260048,42.38413,-83.50525,
Vaxess Technologies Inc,n,United States,Cambridge,MA,Micro-Needle Patch,,BTN,MIMIX.jpg,contact@vaxess.com,749000,http://vaxess.com/,NA,8/6/20,6/30/21,"MIMIX-COVID Development of a home-based, shelf-stable, self-applied, single-dose vaccine-delivery microneedle array skin patch",MIMIX-COVID,"MIMIX Vaccine Patch Development and manufacturing scaling of shelf-stable, self-applied, single-dose single-dose Micro Array Patch (MAP) technology ",This technology could open the profound potential for large-scale distribution of self-administered immunizations that rival or potentially surpass the effectiveness of an immunization delivered via traditional needle and syringe. ,403983,42.36009,-71.1149,
"Verndari, Inc.",n,United States,Napa,CA,Micro-Needle Patch,,BTN,vernardi_logo.png,avanprooyen@verndariinc.com,698215,https://www.verndariinc.com/,NA,7/24/20,6/30/21,Recombinant Spike RBD Skin Protein Administered via Micro Array Patch,VaxiPatch,SARS-CoV-2 Recombinant Spike Receptor Binding Domain protein administered via Micro Array Patch (MAP) Technology,"This technology aims to provide a cost-effective technological innovation that improves immunization uptake, coverage, compliance and preparedness, with the potential for self-administration. ",328572,47.604638,-122.330888,
MIT Lincoln Laboratory,n,United States,Lexington,MA,Data Analytics,,ENACT,MIT_LOGO.png,,2000000,https://www.ll.mit.edu,NA,9/2/20,9/30/22,Physiologic Signals Data Repository and AI Platform,Physiologic Signals Data Repository and AI Platform,The goal of this project is to develop a Physiological Signals Data Repository and AI platform (PSM Data/AI Platform) coupled with advanced data analytics and algorithms to provide insight into presymptomatic changes and predict outcomes.,"This effort will leverage MIT Linclon Laboratory expertise in big data, data architectures, signal processing, biomedical informatics and AI to accelerate the discovery and use of physiological markers for early detection and diagnosis of clinical phenotypes arising from biological and chemical exposures. The outcomes of this study will enhance our knowledge of physiological changes that may serve as presymptomatic indicators of communicable infections like COVID-19 or influenza.",0,42.455261,-71.26284,
MIT Langer Lab,n,United States,Lexington,MA,Micro-Needle Patch,,BTN,MIT_LOGO.png,,700000,https://langer-lab.mit.edu/,NA,9/30/20,9/30/21,3D Vaccine Printer,MIT Langer Lab 3D Vaccine Printer,"Capability development for on demand vaccine production with a continuous, automated (free of user intervention) printing process for the manufacture of vaccine-filled microneedle patches. This include desinging and developing the printer, optimizing process and materials, and demonstrating printed microneedles, as well as loading an mRNA vaccine into microneedles and testing for reproducibility.",This technology is will support the development of distributed manufacturing capabilities that will enable the production of microneedle patches at the point-of-service.,300000,42.35976,-71.091431,
University of Connecticut,n,United States,Conneticut,MA,Micro-Needle Patch,,BTN,p0427-microneedle-patch-2.jpg,,432990,http://nguyenresearchgroup.com/,NA,8/18/20,8/31/21,Single-Administration Microneedle skin patch for Novel Vaccination Technology,Microneedle Skin Patch,"An easy-to-use vaccine-delivery microneedle (MN) patch (i.e., Micro Array Patch) that will contain the spike protein (the S-protein on the shell of COVID-19 virus) and be programmed to automatically deliver this S-protein (as an antigen against COVID-19) into the skin.",This technology has the potential for mass distribution of self-administered immunizations that rival or potentially surpass the effectiveness of an immunization delivered via traditional needle and syringe. ,186448,41.79669,-72.23706,
AgileMD,n,United States,,,Diagnostic,Data Analytics,COVID-19,agilemd.png,,749000,,TRL 7 - Validation and Scale-up,4/31/21,12/31/22,A Rapid Diagnostic of Risk in COVID-19 Patients to Improve Outcomes and Critical Resource Allocation Using Machine Learning,eCART,"eCART is a clinical decision support software tool that combines real-time, machine learning-based COVID-19 health deterioration and treatment algorithms with electronic health record data to rapidly identify COVID-19 patients in need of mechanical ventilation or hemodynamic support.","Rapid identification of vulnerable patients will permit earlier intervention, saving lives and hospital resources.",1027854,41.79669,-72.23706,
Dascena,n,United States,,,Diagnostic,Data Analytics,COVID-19,dascena_logo.jpg,,706534,,TRL 7 - Validation and Scale-up,6/1/21,5/31/22,Rapid development of an accessible mechine learning software for COVID-19 severity predictions,COViage,"COViage is a clinical decision support software tool that integrates clinical data to inform on patient care, especially COVID-19 patients in need of mechanical ventilation or hemodynamic support.",Reduce severity of COVID-19 for hospitalized patients.,1183475,41.79669,-72.23706,
"FirstString Research, Inc.",n,United States,,,Diagnostic,Data Analytics,ReDIRECT,firststring.jpg,,742500,,TRL 3 - Feasibility Demonstration,3/29/21,5/31/22,aCT1 eye drops to treat ocular injury induced by a vesicant agent,aCT1 eye drops,"Evaluate the efficacy of aCT1 eye drops in (1) mitigating acute corneal injuries and promoting healing following ocular exposure to the vesicating agent sulfur mustard, and (2) ameliorating the development and severity of long-term symptoms of ocular SM exposure, termed mustard gas keratopathy","There are no FDA-approved medical countermeasures for the treatment of mustard gas keratopathy. Based on its pharmacological profile, FirstString�s aCT1 is a therapeutic that demonstrates potential as a unique MCM in promoting corneal wound healing and preventing the onset of serious adverse health effects, such as blindness, following exposure to sulfur mustard. ",1073342,41.79669,-72.23706,
PeraHealth,n,United States,,,Data Analytics,,COVID-19,Perahealth_EM.jpg,,686462,,TRL 4 - Optimization,4/5/21,2/8/22,COVID-19 Risk Triage Tool,RI Triage,"PeraHealth will develop machine learning powered mobile and desktop applications to rapidly assess COVID-19 and non-COVID-19 patient risk for deterioration or mortality, as they enter the emergency department. PeraHealth will demonstrate an ability to implement these tools based on user feedback and scale their deployment in U.S. hospitals during the pandemic. Non-COVID-19 triage tools will also be developed for continued use as the pandemic wanes.","The Rothman Index Risk Triage Tool will rapidly assess patient risk for deterioration or mortality in order to aid hospital admission triage and improve clinical management and allocation of resources. This effort will explore the end-user feedback from implementation and demonstrate scaling readiness. In addition, a version of the app will be developed as a non-COVID-19 triage tool for continued impact.",1239014,41.79669,-72.23706,
Enalare Therapeutics Inc.,n,United States,,,Therapeutic,,ReDIRECT,enalare_logo.jpg,,749000,,TRL 4 - Optimization,4/26/21,7/25/22,ENA-001 to treat respiratory depression,IM formulation of ENA-001,"To reformulate the drug ENA-001 for intramuscular (IM) administration for respiratory depresion. The scope of work for this contract includes formulation development for an IM formulation with the goal of achieving robust stability and storage at room temperature for 18-24 months, commercial manufacturing scalability and fast onset of action. Toxicological and safety studies will be studied using the evaluation of plasma studies in rats and minipigs for the IM route compared to the IV route.",The drug overdose epidemic affects millions each year and continues to escalate. Current treatment options for respiratory depression are often inadequate with limited efficacy against multiple agents. A new approach that is agnostic to the cause of respiratory depression is needed. ENA-001 represents a first-in-class respiratory stimulant drug that can reverse opioid-induced respiratory depression using a novel mechanism of action. Reformulating ENA-001 as an intramuscular drug will enable its use as medical countermeasure to treat life-threatening respiratory depression.,1300334,41.79669,-72.23706,
